image,species,individual_id,bbox,conf
0020004d64ae20.jpg,gray_whale,a8c9dfb8ac6f,[[1774 975 2732 1176]],[0.1314]
00206a224e68de.jpg,blue_whale,6c4372e42db1,[[404 21 680 141]],[0.7088]
0022bdb8eb5684.jpg,humpback_whale,35f898e6595e,[[521 77 736 146]],[0.7362]
00234b893ea9e8.jpg,false_killer_whale,bfb74132d1db,[[3 65 241 214]],[0.8144]
0024057bbc89a4.jpg,minke_whale,114207cab555,[[2117 1148 2217 1263]],[0.4669]
00243d4b15bafc.jpg,beluga,3cbfd98eea8f,[[1145 374 1354 438]],[0.4459]
002618d6f63ebc.jpg,southern_right_whale,f5eab86405b4,[[446 306 636 391]],[0.1170]
0028f6fa123686.jpg,bottlenose_dolphin,956562ff2888,[[1455 489 1988 922]],[0.8516]
0029d877c29ab4.jpg,melon_headed_whale,c27f0a7f4e5a,[[5 16 1127 719]],[0.8755]
002ac5f9ad7c10.jpg,false_killer_whale,f7bb4f9a9d1a,[[559 516 2038 1413]],[0.8775]
002e00960cec44.jpg,common_dolphin,e943980b7a98,[[400 144 739 397]],[0.8613]
002fb5fee50b97.jpg,humpback_whale,45fc3a8e1d4e,[[608 128 1463 366]],[0.7565]
0030835e895969.jpg,kiler_whale,1816cc1ae38b,[[1479 1003 1697 1186]],[0.8337]
0032f90c7732b0.jpg,melon_headed_whale,a21288153152,[[25 68 781 584]],[0.8078]
00354cd9244e28.jpg,beluga,a03830613b45,[[497 15 524 32]],[0.0380]
0036b5c11b39f3.jpg,pilot_whale,fefd0899a5dc,[[1256 359 2569 1046]],[0.8430]
0038d3be2513c0.jpg,blue_whale,6348a7ef0d99,[[945 19 1169 92]],[0.3112]
0039599b58fc80.jpg,bottlenose_dolphin,e69d5f9f8d1e,[[1509 922 2022 1336]],[0.8712]
00398cfc6f6675.jpg,beluga,90c9eaca0927,[[507 79 653 113]],[0.2287]
0039955230421d.jpg,beluga,5ca799f80b5e,[[0 0 67 32]],[0.0116]
003ab41b6147f4.jpg,beluga,92ff817f9805,[],[]
003e374b59c0e1.jpg,dusky_dolphin,456bb79da64c,[[0 0 443 456]],[0.9511]
003ffd805a5910.jpg,melon_headed_whale,2842789d601d,[[6 8 601 424]],[0.8473]
00405189464f9d.jpg,humpback_whale,cab2ce1793f2,[[210 199 424 277]],[0.7489]
004132b34ded14.jpg,humpback_whale,3e025417eb83,[[2117 902 2693 1088]],[0.6704]
0042dfc65c7987.jpg,beluga,fcc405e10c09,[[1 0 463 117]],[0.0351]
0044ec4ae5ecfd.jpg,killer_whale,e6388e8a7f58,[[1525 693 1952 1145]],[0.8570]
0044fb81b4f1c7.jpg,humpback_whale,ede6a5ed0100,[[636 266 841 384]],[0.7320]
0046ceef89b3fc.jpg,minke_whale,37c7aba965a5,[[1575 1115 1746 1211]],[0.6856]
004797c1c43563.jpg,false_killer_whale,07a477b6a091,[[152 22 1811 1093]],[0.8334]
0049b56a584eb1.jpg,bottlenose_dolphin,e69d5f9f8d1e,[[1440 921 1921 1325]],[0.8516]
004a0038d162d9.jpg,beluga,f9e081dac2f2,[[937 645 1040 679]],[0.0457]
004a7fef39cf16.jpg,humpback_whale,471ee7717ce7,[[631 517 939 641]],[0.7303]
004a923b0b401e.jpg,minke_whale,ce6e37904aa4,[[1555 374 1799 562]],[0.8261]
004efe00a3e100.jpg,blue_whale,dc27b43c825e,[[1252 58 1583 191]],[0.7057]
005135ee15df6c.jpg,bottlenose_dolphin,345b6233994f,[[883 276 2052 1102]],[0.8191]
005248b53efb3c.jpg,humpback_whale,f38dcf315fde,[[1552 874 2372 1142]],[0.7536]
0053d003390997.jpg,gray_whale,fdcf5957ae47,[[981 753 1359 855]],[0.2029]
00549928dca501.jpg,humpback_whale,032fd951a415,[[1521 790 2201 1022]],[0.7388]
005a9cc627a55d.jpg,long_finned_pilot_whale,82aee03bc09b,[[22 102 2868 1493]],[0.8268]
005b72434149fa.jpg,dusky_dolphin,2fad69faf2a4,[[1 0 855 1085]],[0.9702]
005e317de9a658.jpg,blue_whale,99be972e093d,[[970 133 1129 249]],[0.0014]
005e53b1b6aada.jpg,minke_whale,37c7aba965a5,[[1858 1115 2029 1239]],[0.7713]
005f85f23464f8.jpg,humpback_whale,0b180ad0afa2,[[2216 897 2563 1039]],[0.7244]
006033d6691cef.jpg,blue_whale,2f2a8d23f37d,[[3203 281 3401 389]],[0.5511]
006077a8e080fa.jpg,humpback_whale,299dd7c209df,[[1079 287 1624 472]],[0.6956]
00621ef445e09f.jpg,bottlenose_dolphin,f195c38bcf17,[[1451 717 1920 1138]],[0.8606]
00647f8ff9f243.jpg,sei_whale,fb492f141125,[[501 224 1012 580]],[0.8608]
00665aba3c163b.jpg,humpback_whale,be05e480ae65,[[2 4 3582 2321]],[0.6781]
0067205f90977d.jpg,melon_headed_whale,e50fcf9eefa8,[[1 23 307 276]],[0.9067]
006b2548d360a6.jpg,beluga,06ef73efe924,[[562 230 821 344]],[0.0689]
006cc681396f71.jpg,sei_whale,2f5a62b26ef2,[[2474 91 3572 865]],[0.8427]
006f1f7c9ea3c2.jpg,bottlenose_dolphin,812be36c2aef,[[1441 771 1965 1078]],[0.8309]
006fc52f81ab7d.jpg,bottlenose_dolphin,73e13d5e4ada,[[1481 738 2133 1113]],[0.8581]
007003e07cb9fd.jpg,humpback_whale,6669f6bcfef6,[[1361 1070 1984 1254]],[0.7086]
007097146016e6.jpg,spinner_dolphin,453039468cbf,[[1078 8 1792 602]],[0.8734]
0070b4e405cd8d.jpg,bottlenose_dolphin,9f3613b5c45b,[[1774 898 2070 1178]],[0.8287]
0074ad8c5e4a13.jpg,bottlenose_dolphin,cc0e0b020a90,[[1446 670 2060 1240]],[0.8701]
00756614506440.jpg,blue_whale,51d8eb322bbd,[[1461 49 1908 258]],[0.7456]
0076826dae9092.jpg,blue_whale,9ef7e5421462,[[3076 146 3484 341]],[0.7676]
007784cb6d6631.jpg,melon_headed_whale,61d80f453ccf,[[58 85 283 242]],[0.7605]
0079009e883e38.jpg,false_killer_whale,19c2bfaa0819,[[684 118 1394 593]],[0.8771]
00790eab417e06.jpg,beluga,1c75e49514cf,[[538 61 749 113]],[0.2070]
007991a750a4f2.jpg,bottlenose_dolpin,356b1b0ece97,[[78 29 526 367]],[0.7761]
007b91c88a2da3.jpg,bottlenose_dolphin,30ca1c6cb592,[[1201 723 1738 1155]],[0.8250]
0081186855e29a.jpg,beluga,7593d2aee842,[],[]
00813a03e678c3.jpg,bottlenose_dolphin,15d96d5d42c2,[[1417 648 2112 1103]],[0.8848]
00835b2e9aa162.jpg,gray_whale,432f64decd00,[[1077 591 1245 757]],[0.2500]
0086e36dfb15fd.jpg,humpback_whale,9940775556b7,[[24 735 301 959]],[0.7332]
008705d384b02a.jpg,killer_whale,fe8052dcc19e,[[888 424 1646 1084]],[0.8256]
00870a2b4f5f60.jpg,cuviers_beaked_whale,9bb396533ccc,[[1292 1095 1611 1274]],[0.7624]
008b4760ade506.jpg,melon_headed_whale,ee6ef8e3cc0c,[[1727 1191 1993 1418]],[0.8708]
008bb028b196d8.jpg,blue_whale,4da7ad05c03d,[[2554 125 2856 278]],[0.6170]
008c5d3fc215ac.jpg,humpback_whale,22404199917d,[[145 275 413 387]],[0.7730]
008dd551cef1d8.jpg,bottlenose_dolphin,6398f8680938,[[1123 458 2106 1034]],[0.8603]
008f60577b4f60.jpg,spinner_dolphin,0d11516e7fbe,[[232 249 713 505]],[0.8528]
00931cfd50f2b0.jpg,killer_whale,e702dc246ecd,[[854 131 2138 1399]],[0.8603]
009379360f0987.jpg,fin_whale,b6a0a552e43c,[[1272 589 1893 1187]],[0.8066]
00958b624f455c.jpg,beluga,3a608b68bde4,[[1364 0 1514 14]],[0.0347]
009642068626f9.jpg,spotted_dolphin,bc05e97f4fea,[[356 80 845 420]],[0.8680]
00967c436ea86f.jpg,beluga,5ac053677ed1,[[487 34 927 319]],[0.5246]
009a307f9f483c.jpg,spinner_dolphin,49e75f3dfbec,[[223 19 1145 771]],[0.8974]
009b6593ccc800.jpg,minke_whale,4d18b20adff3,[[1899 224 2284 562]],[0.8058]
009c968192535f.jpg,gray_whale,613d4dd25716,[[840 1694 1137 1780]],[0.2647]
009d3abcd8d794.jpg,blue_whale,2787592f8e61,[[2064 80 2451 253]],[0.6972]
009e1a16460b26.jpg,beluga,3a608b68bde4,[[0 47 184 171]],[0.0386]
00a198105cdc24.jpg,humpback_whale,da611bc6c389,[[790 46 1093 288]],[0.7423]
00a3449831cb17.jpg,dusky_dolphin,e04885cf2a1e,[[21 2 771 552]],[0.8310]
00a4745e7218c4.jpg,bottlenose_dolpin,3b5cd491b73f,[[100 104 864 607]],[0.8320]
00a5f0c7e639ce.jpg,blue_whale,f23863acde5a,[[2105 145 2492 383]],[0.7007]
00aa710486d3b5.jpg,bottlenose_dolphin,6398f8680938,[[1311 466 2091 1077]],[0.8407]
00ab71e582117c.jpg,spinner_dolphin,c9d65b1a3b8e,[[410 178 841 533]],[0.8791]
00ac4935ad83b4.jpg,humpback_whale,152d41d8f0a6,[[334 45 672 168]],[0.7809]
00afe60388a560.jpg,killer_whale,1138a9024ee5,[[1888 1297 2158 1528]],[0.8303]
00afe7b25dc241.jpg,humpback_whale,136214790115,[[1038 387 1168 441]],[0.3988]
00b0f5aa111833.jpg,dusky_dolphin,5015b9e45c33,[[1 16 321 347]],[0.9428]
00b3bf2c51d511.jpg,false_killer_whale,4b9bc905af99,[[695 302 1316 711]],[0.8697]
00b71c50bb2be4.jpg,beluga,db73c9938adb,[[1616 164 2081 287]],[0.1504]
00b773df4a863d.jpg,humpback_whale,be3543fc7c74,[[1923 1185 2025 1254]],[0.5780]
00b7e608440f77.jpg,bottlenose_dolphin,812be36c2aef,[[1178 524 2227 1162]],[0.8480]
00bd3260725f0c.jpg,dusky_dolphin,381ad3515ef3,[[1 37 959 874]],[0.9288]
00be328933f508.jpg,blue_whale,30c6cff9ac82,[[2080 31 2517 230]],[0.7225]
00bf58d0f7b4c1.jpg,beluga,e5cffdb1b51d,[[294 156 413 205]],[0.0184]
00c0135a96f085.jpg,spinner_dolphin,0e06d1b6ed03,[[570 105 1815 1243]],[0.8654]
00c021e7dc6da2.jpg,fin_whale,43a1413b3da1,[[1461 936 1930 1196]],[0.8038]
00c0bf276875e0.jpg,false_killer_whale,7a890f4d5842,[[197 121 581 461]],[0.8571]
00c4c5832c0c78.jpg,bottlenose_dolphin,f4d76609b0af,[[489 114 1350 810]],[0.9243]
00cb904cf19b86.jpg,bottlenose_dolphin,5f48c2296a0e,[[1060 710 2410 1947]],[0.8620]
00ce336ef6b8b5.jpg,humpback_whale,35f898e6595e,[[1731 1399 1870 1460]],[0.5975]
00cf2ccfae0f7e.jpg,dusky_dolphin,0a1b55308c62,[[9 11 1449 1335]],[0.9213]
00cf7a68a89a6d.jpg,humpback_whale,c9ab1ba25eb8,[[1202 930 1616 1097]],[0.7090]
00d0927689a7a2.jpg,humpback_whale,6a6fa3ec3810,[[1971 937 2157 1050]],[0.5982]
00d0f38d99c221.jpg,bottlenose_dolphin,4b8534134eb8,[[1449 1279 1815 1583]],[0.8734]
00d113413a1d49.jpg,beluga,7a8863eb9227,[[528 57 1142 351]],[0.0054]
00d57842379951.jpg,blue_whale,a3d1f5d2fb22,[[1586 20 1874 127]],[0.6579]
00d6a347b07263.jpg,spinner_dolphin,365c8c1b1840,[[245 68 704 473]],[0.8552]
00db5ec9e46a3d.jpg,globis,f66a485c89f7,[[46 220 1366 817]],[0.7418]
00de478885ca7c.jpg,melon_headed_whale,992145e63e59,[[1304 300 2246 871]],[0.8509]
00e130666ba6e6.jpg,humpback_whale,938b7e931166,[[1839 1362 2086 1456]],[0.5113]
00e3258f41806c.jpg,bottlenose_dolphin,735496dc7e64,[[1512 826 1787 1025]],[0.8667]
00e4b6642f7f5a.jpg,false_killer_whale,ea6eccb47a48,[[315 136 1121 719]],[0.8211]
00e67227918b41.jpg,bottlenose_dolphin,6bf9810d3632,[[1620 844 1974 1141]],[0.8028]
00e6b936f02c6e.jpg,blue_whale,fc7685b5bd05,[[1357 48 1860 246]],[0.6620]
00e828b22fe365.jpg,beluga,a0426f94bee5,[[0 0 28 12]],[0.0054]
00e82b4e0691e1.jpg,bottlenose_dolphin,0e4660baf3f1,[[1438 596 1897 894]],[0.8278]
00e9136ab88016.jpg,killer_whale,27f53391fdcc,[[1050 314 1697 1161]],[0.8048]
00eb3441343226.jpg,beluga,5185e90ddcb1,[[28 832 2359 2325]],[0.5449]
00eb689c10db84.jpg,brydes_whale,a5fa185061f0,[[1428 591 1816 818]],[0.8477]
00eb80dafb4fda.jpg,beluga,823584047470,[[454 38 722 100]],[0.4425]
00eea1a5b9d8bc.jpg,spinner_dolphin,1a795ba08d48,[[330 11 657 264]],[0.8799]
00efc65d9f69ee.jpg,humpback_whale,5da95809a5a3,[[702 380 793 433]],[0.6764]
00f0f055d749fa.jpg,bottlenose_dolphin,208b91b1ca2b,[[1012 577 1984 1169]],[0.8694]
00f266025063e7.jpg,bottlenose_dolphin,a48bdc9f7fd9,[[1332 860 1926 1361]],[0.8858]
00f286edc2e6bb.jpg,humpback_whale,7362d7a01d00,[[1393 1111 1932 1279]],[0.7037]
00f32804ed5fb3.jpg,false_killer_whale,2280b5fcc6c2,[[890 297 2219 1155]],[0.8529]
00f3e4528e819e.jpg,fin_whale,180c0ab04dcd,[[444 230 627 335]],[0.8176]
00f45997b905c3.jpg,dusky_dolphin,2d23242622cd,[[0 4 1076 1089]],[0.9324]
00f5b73aa72279.jpg,humpback_whale,bba489ffa50e,[[761 837 932 1125]],[0.0525]
00f6d88f12dcf8.jpg,humpback_whale,8497e07df745,[[1669 1189 1855 1267]],[0.6656]
00f7ab6adcb2dd.jpg,bottlenose_dolphin,c90e0c2c6623,[[1099 93 2492 1022]],[0.8542]
00f9b3f53e440e.jpg,commersons_dolphin,21833976de5f,[[306 120 3001 1221]],[0.8158]
00f9c62840d4d0.jpg,commersons_dolphin,317b3a905ce4,[[86 85 394 232]],[0.7892]
00fa44f35d843b.jpg,humpback_whale,aa0e4acb6a29,[[542 65 911 444]],[0.5615]
00fa57e4793b90.jpg,humpback_whale,10e758eb503a,[[1310 1639 1559 1707]],[0.5341]
00fa70fb2c3673.jpg,humpback_whale,a19b3b964ac1,[[911 57 1112 137]],[0.6830]
00fb7dd2e41765.jpg,bottlenose_dolphin,02da0e68dccd,[[1585 692 2153 1165]],[0.8677]
00fd2ba8c057e3.jpg,bottlenose_dolphin,7053d3c812b5,[[1726 1050 2085 1252]],[0.7424]
00fdcc59386b20.jpg,bottlenose_dolphin,b11b2404c7e3,[[1164 754 2114 1409]],[0.8536]
00fe0f599a58cd.jpg,dusky_dolphin,cd9097fd2097,[[6 40 1123 1019]],[0.8881]
01007d63ca94b1.jpg,common_dolphin,d05b5f372c0b,[[500 183 1351 747]],[0.8515]
010134d3eeb07e.jpg,pilot_whale,cf9f94464b9b,[[116 156 1691 1464]],[0.8273]
0103735160dd47.jpg,fin_whale,aaadebb37be1,[[2025 1057 2297 1208]],[0.7751]
0104ac335f66f9.jpg,southern_right_whale,98336401fb38,[[951 152 1226 232]],[0.0824]
0104c0fd90132f.jpg,dusky_dolphin,dc20a069583b,[[0 6 386 315]],[0.9186]
0106d276033b78.jpg,minke_whale,37c7aba965a5,[[1871 798 2176 976]],[0.7821]
01086bfef670be.jpg,false_killer_whale,bf2e0d964354,[[6 27 1020 682]],[0.9136]
0108abfde9a987.jpg,fin_whale,6c06847d81e4,[[2194 1289 2370 1419]],[0.6955]
01091adf08fe11.jpg,bottlenose_dolphin,15d96d5d42c2,[[1233 571 2186 1182]],[0.8846]
010c211438b04b.jpg,gray_whale,fc0f7c162cc0,[[1919 943 2003 1039]],[0.0154]
010cb3070c237e.jpg,bottlenose_dolpin,c63c9eb5dde3,[[264 142 1260 857]],[0.8552]
010cc9eff49810.jpg,beluga,84a261c0e5cf,[[1 15 237 120]],[0.6522]
010d5ad0f83ae5.jpg,fin_whale,54b4a6338123,[[1505 775 2081 1054]],[0.7857]
010e82a9b3c737.jpg,humpback_whale,8ee65de044e7,[[824 825 1114 994]],[0.1769]
010fcbf54ae273.jpg,bottlenose_dolphin,0b2973489685,[[1348 704 2130 1317]],[0.8253]
010feffc934b3d.jpg,beluga,afb9b3978217,[[1469 1089 1646 1140]],[0.0165]
0111bce383805b.jpg,dusky_dolphin,2f53274a5c70,[[0 2 349 300]],[0.9267]
0111e5b7996776.jpg,white_sided_dolphin,e6729cf51870,[[1374 1103 1841 1441]],[0.8203]
0112262f4d1f65.jpg,humpback_whale,2744cec60e63,[[1393 1166 1808 1309]],[0.2936]
01124319d84eda.jpg,beluga,644db6f31843,[[1112 554 1300 604]],[0.1482]
01127023ed6443.jpg,melon_headed_whale,0e889a43f33a,[[59 23 903 549]],[0.8165]
01128c0e26a1b8.jpg,humpback_whale,4c47fe2b6931,[[967 798 1391 925]],[0.6182]
01130df8d2d82b.jpg,humpback_whale,8f336ca59cfd,[[1267 913 1590 1033]],[0.6582]
0113b8b3ee71e6.jpg,gray_whale,a8c9dfb8ac6f,[[2552 800 2789 907]],[0.0641]
0119fc31d81817.jpg,beluga,d2b9aab4437c,[[1063 123 1377 199]],[0.2477]
011b0bb16bb223.jpg,dusky_dolphin,9d8f826692be,[[2 1 149 160]],[0.9153]
011c2171176e57.jpg,humpback_whale,df109f6bede4,[[1103 1168 1729 1413]],[0.7146]
011d24b8b00f84.jpg,bottlenose_dolphin,ca886e0b34a3,[[1146 541 2153 1279]],[0.8587]
011f36f5e0b772.jpg,bottlenose_dolphin,65115a5e60a4,[[1454 740 1972 1143]],[0.8684]
01205db44cf1e4.jpg,false_killer_whale,e53d52e33e81,[[5 0 1021 711]],[0.8854]
01241e2d4a6abd.jpg,bottlenose_dolphin,1191a41ee0f4,[[1276 794 2122 1365]],[0.8759]
01287e826d29a8.jpg,spinner_dolphin,01d321e84d27,[[318 15 950 456]],[0.8881]
012b8b46cfdf1c.jpg,fin_whale,e63450af6eaf,[[548 24 911 221]],[0.7558]
012c710965bd74.jpg,bottlenose_dolpin,932a85030add,[[257 107 1184 924]],[0.8231]
0130886c5f63bb.jpg,blue_whale,c104a602fd63,[[1813 59 2272 281]],[0.6448]
01308e45bf22d3.jpg,kiler_whale,c2b64ccd2f88,[[1339 1023 1766 1573]],[0.8195]
01351200256f2c.jpg,bottlenose_dolphin,ff86c4883496,[[1876 1150 2164 1370]],[0.8305]
0135e7c19d415c.jpg,beluga,dfdd90ac6268,[[733 155 1201 267]],[0.1268]
0136f516926d6a.jpg,spotted_dolphin,8f044d8617ac,[[259 86 1222 723]],[0.8505]
013a9437efc47d.jpg,beluga,afb9b3978217,[[451 183 601 228]],[0.0013]
013b98eeda7a81.jpg,beluga,dbc18c7c5856,[[919 47 1430 161]],[0.0745]
013bc2c2a594a1.jpg,beluga,e7ee6633ea69,[[11 143 186 224]],[0.0079]
013cdf45f229eb.jpg,false_killer_whale,55419ffd0ad0,[[1388 1056 2278 1755]],[0.8284]
013cfccddd6768.jpg,gray_whale,c4deab707116,[[832 892 991 994]],[0.1552]
0141b6f29e9a00.jpg,blue_whale,b9fb92324fa1,[[164 26 394 133]],[0.6235]
014214dc22a0ed.jpg,humpback_whale,5393adf1a8ac,[[1469 514 2340 798]],[0.6858]
01428cdcab4d66.jpg,spinner_dolphin,f5f766b3ec5a,[[1448 196 2127 621]],[0.8610]
0143b99b22f2c1.jpg,beluga,262f464ee602,[[780 109 1132 181]],[0.0272]
014431c21c6a98.jpg,bottlenose_dolphin,6ea7b74e1c3d,[[1431 816 1787 1123]],[0.8509]
014677910446f1.jpg,spinner_dolphin,be10253b0f6e,[[713 11 1305 401]],[0.8531]
014699bde284ee.jpg,humpback_whale,17757e0eff14,[[635 62 1288 298]],[0.5930]
01478f3794e3d7.jpg,bottlenose_dolpin,476a11b38d17,[[11 125 991 700]],[0.8121]
0147d65f4229c6.jpg,melon_headed_whale,f97c05394de7,[[190 132 1283 798]],[0.8352]
01485c37a6aba7.jpg,dusky_dolphin,d1b1877caacf,[[37 52 935 737]],[0.8488]
0148a269e843c6.jpg,beluga,43a0437939e4,[[937 952 1074 1009]],[0.0037]
01492ef72f6b48.jpg,bottlenose_dolphin,9e89f8e28807,[[1506 733 1916 1071]],[0.8476]
014a0116965ca3.jpg,blue_whale,6caa1a89ff9d,[[778 20 1092 144]],[0.7046]
014ba64e8ce8ec.jpg,minke_whale,37c7aba965a5,[[2571 748 3282 1171]],[0.8366]
014c8f2bee256e.jpg,beluga,40be932489fe,[[393 83 705 191]],[0.1481]
014d58ae6a59b4.jpg,melon_headed_whale,6914117ad135,[[1 51 614 429]],[0.8785]
014dc3fa335192.jpg,humpback_whale,4a006cafd0b8,[[785 809 1559 1046]],[0.7574]
014f6d1c690aff.jpg,melon_headed_whale,daee25985a26,[[3 9 725 599]],[0.9048]
01504a17d6a680.jpg,killer_whale,5fcda730474e,[[998 105 2371 1680]],[0.8802]
0150fe50e01694.jpg,dusky_dolphin,afabaf8b7fec,[[1 0 945 1002]],[0.9653]
0151559debca5b.jpg,humpback_whale,4f83193cc69e,[[1152 537 1546 672]],[0.7141]
01528459216ab1.jpg,beluga,dbc18c7c5856,[[1022 1449 1060 1466]],[0.0045]
0152e03282b76f.jpg,humpback_whale,400d43387c48,[[1974 1197 2254 1315]],[0.5565]
015526265ab976.jpg,false_killer_whale,df94ff1826b0,[[25 20 928 664]],[0.8263]
01558f02f65136.jpg,beluga,7ce9197f6bed,[[397 29 541 60]],[0.4003]
01569010785472.jpg,humpback_whale,99b09281e3cd,[[1348 1217 1913 1397]],[0.6808]
0156ae7b1a45dc.jpg,dusky_dolphin,ff8f752a4294,[[1 51 1528 1316]],[0.9350]
01593ab001b56a.jpg,bottlenose_dolphin,136b6c84830f,[[1094 642 2101 1386]],[0.8466]
015997f3ce892c.jpg,dusky_dolphin,b7bd57892597,[[13 0 1270 1022]],[0.8895]
015af1c1c4ba43.jpg,blue_whale,c3287e843265,[[744 986 1170 1199]],[0.0086]
015b9c7df6b33a.jpg,killer_whale,27f53391fdcc,[[1849 1449 2459 2187]],[0.8243]
015e210d90a490.jpg,blue_whale,23968f704e18,[[523 86 847 278]],[0.7656]
015e9cc83e2b7f.jpg,humpback_whale,35f898e6595e,[[2164 1445 2400 1516]],[0.4827]
015f821050cab5.jpg,bottlenose_dolphin,90e2a0133e28,[[1144 530 2097 1205]],[0.8424]
0160e42335b69d.jpg,melon_headed_whale,0d8c98a292b6,[[455 86 1191 523]],[0.8802]
0161145721b62e.jpg,killer_whale,645f3f614dd0,[[533 77 1266 527]],[0.8346]
0161353eb58f81.jpg,spinner_dolphin,54531ab268ba,[[349 21 1323 940]],[0.8696]
01614d81068ff6.jpg,short_finned_pilot_whale,4fb5ef2a9b98,[[365 3 1610 583]],[0.8162]
01615264fa5c3e.jpg,blue_whale,265016a18097,[[2724 505 3331 749]],[0.5882]
016184c3f563b9.jpg,melon_headed_whale,ec66175061f6,[[3 5 1024 753]],[0.8710]
01637f0b588ed8.jpg,minke_whale,37c7aba965a5,[[1382 1247 1599 1378]],[0.7382]
0163f10010bd1b.jpg,spinner_dolphin,91fb22f2e5dc,[[144 187 601 544]],[0.8568]
0164d8fd7a7cfe.jpg,minke_whale,19fbb960f07d,[[1671 621 2192 923]],[0.7984]
0165012ef21b28.jpg,beluga,dba4e482f0ad,[[0 236 70 523]],[0.0035]
0167aca06ff1c2.jpg,bottlenose_dolphin,5bf17305f073,[[1115 612 2141 1319]],[0.8330]
016b90045715a8.jpg,bottlenose_dolpin,db37a7026caf,[[298 111 1802 1208]],[0.7493]
016d7c23878254.jpg,dusky_dolphin,16bb78a844a7,[[1 26 917 800]],[0.9456]
016e9030a195e6.jpg,melon_headed_whale,a977dca03f23,[[1597 689 2152 1089]],[0.8599]
01707fff2f49bc.jpg,humpback_whale,24d962add626,[[918 1176 1794 1435]],[0.8144]
0170c7b65aa8ee.jpg,false_killer_whale,2fdb3a09dc9c,[[1530 1096 1841 1304]],[0.8148]
01718fb61d4f79.jpg,blue_whale,99233c785f69,[[1421 0 1966 228]],[0.7055]
017530c72fcd5b.jpg,humpback_whale,4957e2218e8e,[[1290 775 2058 1052]],[0.7724]
017583ffadc434.jpg,bottlenose_dolphin,599bf01ce321,[[1031 507 1886 1163]],[0.8355]
017599446c556c.jpg,humpback_whale,6bd07da59100,[[1061 930 1479 1125]],[0.7428]
0175da3aa1062a.jpg,beluga,7dc63cb16112,[[836 35 1049 113]],[0.1973]
0178b96f0f1085.jpg,false_killer_whale,9a66d006b36e,[[993 952 1691 1481]],[0.8597]
017b8edb24c2c6.jpg,bottlenose_dolpin,4042b1085b04,[[210 46 1445 1071]],[0.7376]
017ebb4d3d7dea.jpg,false_killer_whale,e33a507393ca,[[349 297 1101 817]],[0.8088]
018097f71fbc8f.jpg,dusky_dolphin,5f265f463a7f,[[0 9 304 282]],[0.9420]
0180f16956a57a.jpg,humpback_whale,f18ff9b26d5f,[[651 58 1456 635]],[0.8421]
0183c302f9110a.jpg,humpback_whale,02f5c5ee9c2a,[[471 20 1150 239]],[0.7653]
018490eafcf301.jpg,gray_whale,2ca0b9b39092,[[2936 1085 3162 1180]],[0.1337]
01855151670ece.jpg,dusky_dolphin,d7f6349e3c42,[[0 0 2176 2634]],[0.9694]
01870901b93c90.jpg,blue_whale,75514dab65c9,[[2317 98 2746 289]],[0.7557]
018722a50f72f7.jpg,beluga,122dc7f46c24,[[682 68 953 128]],[0.1816]
018758f87100cf.jpg,humpback_whale,7a4ef3059b64,[[2319 501 3055 813]],[0.7032]
01887df096098a.jpg,beluga,982224d06f8c,[[175 36 227 60]],[0.0186]
